seed,guide,true_fc,est_fc,bias,r_pearson,r_spearman
47,CA2,1.0,0.9351948279865061,-0.0648051720134939,0.3727003349082207,0.10825515947467168
48,NTC_1,0.0,-0.12957396321222436,-0.12957396321222436,0.33703888269107124,0.3293233082706767
48,KO1,-2.0,-2.122980974244329,-0.12298097424432886,0.15636189390982297,0.20243902439024392
48,KO2,-1.3219280948873622,-1.6840790729992117,-0.3621509781118495,0.39475610108256237,0.43189493433395876
48,KO3,-0.029146345659516508,-0.12902321629449975,-0.09987687063498324,0.42942403778032534,0.3071294559099437
48,CA1,0.5849625007211562,0.37783084101751196,-0.20713165970364422,0.2682552408662527,0.18930581613508446
48,CA2,1.0,0.7891958732135569,-0.2108041267864431,0.4870260782775661,0.501313320825516
49,NTC_1,0.0,0.2310608405597483,0.2310608405597483,0.4092614348770733,0.3789473684210526
49,KO1,-2.0,-1.9368044357769216,0.06319556422307837,0.2999183267249958,0.3129455909943715
49,KO2,-1.3219280948873622,-1.4107848625652517,-0.08885676767788953,0.11210151172360214,0.08067542213883679
49,KO3,-0.029146345659516508,0.026148178053644777,0.055294523713161285,0.4925615169871498,0.5206378986866792
49,CA1,0.5849625007211562,0.6352566260822092,0.050294125361053044,0.4420397532728017,0.3155722326454034
49,CA2,1.0,1.1512273330219065,0.1512273330219065,0.4159538369257673,0.41651031894934337
50,NTC_1,0.0,0.05515561289861548,0.05515561289861548,0.24580071225260935,0.12180451127819547
50,KO1,-2.0,-1.9546154957287039,0.045384504271296144,0.23246030932599648,0.27035647279549724
50,KO2,-1.3219280948873622,-1.4384528618328298,-0.11652476694546765,0.13270565423664255,0.16472795497185744
50,KO3,-0.029146345659516508,-0.07961191945001733,-0.050465573790500824,0.20586782870939463,0.25234521575985
50,CA1,0.5849625007211562,0.5785149116046702,-0.006447589116486019,0.5130202742870271,0.5735459662288932
50,CA2,1.0,0.9099248427875315,-0.0900751572124685,0.3969793404777526,0.40187617260787994
51,NTC_1,0.0,-0.04950442128107202,-0.04950442128107202,0.4835124293599083,0.37293233082706767
51,KO1,-2.0,-1.9490257721416677,0.05097422785833228,0.16305767194247445,0.12363977485928707
51,KO2,-1.3219280948873622,-1.3079596977703298,0.01396839711703235,0.038064425379884914,0.056285178236397754
51,KO3,-0.029146345659516508,-0.03570856861993921,-0.006562222960422699,0.11887061069430213,0.09587242026266417
51,CA1,0.5849625007211562,0.5771354217059885,-0.00782707901516766,0.37287988541515066,0.3797373358348969
51,CA2,1.0,0.9004767913348948,-0.09952320866510522,0.22294363546589616,0.21257035647279554
52,NTC_1,0.0,-1.221971176194402,-1.221971176194402,0.11324060214904141,0.10526315789473684
52,KO1,-2.0,-2.859645507859441,-0.8596455078594412,0.30462608360458426,0.34878048780487814
52,KO2,-1.3219280948873622,-2.1820763569347585,-0.8601482620473964,0.14291228389710842,0.12213883677298315
52,KO3,-0.029146345659516508,-1.1302119713299001,-1.1010656256703837,0.16558490320587452,0.2482176360225141
52,CA1,0.5849625007211562,-0.562831066178533,-1.147793566899689,-0.04004310893242895,-0.09737335834896811
52,CA2,1.0,-0.13236012272760522,-1.1323601227276052,0.3425612136615406,0.4442776735459663
53,NTC_1,0.0,-0.32762923054620874,-0.32762923054620874,0.6156788180735042,0.5097744360902255
53,KO1,-2.0,-2.1816941719524587,-0.18169417195245874,0.07468904674631441,0.09774859287054409
53,KO2,-1.3219280948873622,-1.503373287247869,-0.1814451923605067,0.3295785018044841,0.2433395872420263
53,KO3,-0.029146345659516508,-0.1645843010418142,-0.1354379553822977,0.2214335657971453,0.1703564727954972
53,CA1,0.5849625007211562,0.4694837111957346,-0.11547878952542157,0.2846126915725613,0.23658536585365858
53,CA2,1.0,0.7655533332355295,-0.23444666676447046,0.5555939860366337,0.5667917448405254
54,NTC_1,0.0,-0.8642021637432302,-0.8642021637432302,-0.13528772977295606,-0.05413533834586466
